TANGGAL PEMBELIAN,NAMA SUPPLIER & PENYEDIA JASA,ITEM,QTY,HARGA,KETERANGAN
2025-09-01,Bintang Mas,Kain Keras TK,1 roll,Rp  425.000,Jika Pembelian Banyak Harga Berbeda
2025-05-03,Cahaya Surabaya,Kain Lurik,1 m,Rp  48.000,Jika Pembelian Banyak Harga Berbeda
2025-11-19,CV. Mimi Fashion,Kain Jala Fashion,1 kg,Rp  62.000,Jika Pembelian Banyak Harga Berbeda
2025-04-16,Esteva Indonesia,Kain Milano,1 roll,Rp  1.215.000,Jika Pembelian Banyak Harga Berbeda
2025-11-22,Flores Jaya,Kain Jala Mesh Biru,1 m,Rp  75.000,Jika Pembelian Banyak Harga Berbeda
2025-11-13,Nurakaci Store,Kain Jala Double Mesh Orange,1 m,Rp  47.000,Jika Pembelian Banyak Harga Berbeda
2025-11-13,Nurakaci Store,Kain Jala Double Mesh Biru,1 m,Rp  47.000,Jika Pembelian Banyak Harga Berbeda
2025-11-13,Nurakaci Store,Kain Jala Double Mesh Merah,1 m,Rp  47.000,Jika Pembelian Banyak Harga Berbeda
2025-07-01,PT Knitto Tekstil Indonesia,Kain Commbed 24s Navy,1 kg,Rp  109.000,Jika Pembelian Banyak Harga Berbeda
2025-07-01,PT Knitto Tekstil Indonesia,Kain Commbed 24s Mustard,1 kg,Rp  106.000,Jika Pembelian Banyak Harga Berbeda
2025-06-25,PT. Domivatex Lestari Abadi,Kain Pablo Escobar,1 yard,Rp  20.000,Jika Pembelian Banyak Harga Berbeda
2025-06-25,PT. Domivatex Lestari Abadi,Kain Toyobo,1 yard,Rp  16.500,Jika Pembelian Banyak Harga Berbeda
2025-07-23,PT. Knitto Tekstil Indonesia,CVC Pique Hexagon 24s - Abu Muda,1 kg,Rp  107.000,Jika Pembelian Banyak Harga Berbeda
2025-07-23,PT. Knitto Tekstil Indonesia,CVC Pique Hexagon 24s - Putih Bluish,1 kg,Rp  102.000,Jika Pembelian Banyak Harga Berbeda
2025-06-17,Sinar Surya,TC Olive Putih,1 roll,Rp  1.550.000,Jika Pembelian Banyak Harga Berbeda
2025-07-17,Sinar Surya,TC Olive Pramuka,1 roll,Rp  1.050.000,Jika Pembelian Banyak Harga Berbeda
2025-12-09,Sinar Surya,Kain Jet Black,1 pcs,Rp  28.500,Jika Pembelian Banyak Harga Berbeda
2025-07-04,Sinar Surya,Kain American Macan,1 m,Rp  26.000,Jika Pembelian Banyak Harga Berbeda
2025-07-08,Toko Bahan Textile Trijaya,Kain Japan Dril,1 yard,Rp  35.000,Jika Pembelian Banyak Harga Berbeda
2025-11-21,Toko Bahan Textile Trijaya,Kain Union,1 yard,Rp  28.000,Jika Pembelian Banyak Harga Berbeda
2025-08-22,Toko Kain Hongkong ,Kain Toyobo,1 m,Rp  25.000,Jika Pembelian Banyak Harga Berbeda
2024-04-23,Toko Kain Sutratex,Kain Satin,1 m,Rp  30.000,Jika Pembelian Banyak Harga Berbeda
2025-04-23,Toko Kain Sutratex,Kain Centini,1 m,Rp  30.000,Jika Pembelian Banyak Harga Berbeda
2025-05-15,Toko Konveksi (KF),Kain Keras Megatop,1 roll,Rp  467.500,Jika Pembelian Banyak Harga Berbeda
2025-05-22,Toko Konveksi (KF),Kain Kapas Kuralon,1 roll,Rp  167.500,Jika Pembelian Banyak Harga Berbeda
2025-05-22,Toko Konveksi (KF),Kain Furing,1 roll,Rp  477.500,Jika Pembelian Banyak Harga Berbeda
2025-05-03,UD. Karunia Sejahtera,Kain Toyobo Premium,1 roll,Rp  1.350.000,Jika Pembelian Banyak Harga Berbeda
2025-09-17,UD. Karunia Sejahtera,Kain TRM,1 m,Rp  21.000,Jika Pembelian Banyak Harga Berbeda
2025-12-09,UD. Menang Kancing Surabaya,Kain Jet Black Wool Peach,1 m,Rp  28.500,Jika Pembelian Banyak Harga Berbeda
2026-01-13,test,test,test,0,test

